word,word_sen,word_sen_trans,trans,example
recruit,New recruits are sent to the Atlanta office for training.,新成员被送到亚特兰大办事处接受培训。,"n.招聘；新兵；新成员
v.补充；聘用；征募；使…恢复健康
","1. New recruits are sent to the Atlanta office for training.
新成员被送到亚特兰大办事处接受培训。
"
failure,Successful people often aren’t very good at dealing with failure.,一帆风顺的人往往不太擅长应对失败。,"n.失败；故障；失败者；破产
","1. Successful people often aren’t very good at dealing with failure.
一帆风顺的人往往不太擅长应对失败。
"
blame,Don’t blame me – it’s not my fault.,别来怪我——又不是我的错。,"v.责备；归咎于
n.责备；责任；过失
","1. Don’t blame me – it’s not my fault.
别来怪我——又不是我的错。
2. I blame his mother. She does everything for him.
怪他母亲不好，她什么事都要为他做。
"
definition,a dictionary definition,词典里的释义,"n.定义；[物] 清晰度；解说
","1. a dictionary definition
词典里的释义
"
uniform,Grade A eggs must be of uniform size.,A 级鸡蛋必须大小相同。,"adj.统一的；一致的；相同的；均衡的；始终如一的
n.制服
v.使穿制服；使成一样
","1. Grade A eggs must be of uniform size.
A 级鸡蛋必须大小相同。
"
hotel,I’ve booked the flights and the hotel.,我已订好机票和酒店。,"n.旅馆，饭店；客栈
vt.使…在饭店下榻
vi.进行旅馆式办公
","1. I’ve booked the flights and the hotel.
我已订好机票和酒店。
2. We’ll be staying at the Hotel Ibis.
我们将住在宜必思酒店。
"
intelligent,a group of highly intelligent (= very intelligent )students,一组聪明异常的学生,"adj.智能的；聪明的；理解力强的
","1. a group of highly intelligent (= very intelligent )students
一组聪明异常的学生
2. Sontag was once famously described as the most intelligent woman in America.
桑塔格曾被称为美国最聪明的女人，这是众人皆知的事。
"
bias,Students were evaluated without bias.,对学生的评估都是公正的。,"n.偏见；偏爱；斜纹；乖离率
v.使存偏见
adj.偏斜的
adv.偏斜地
","1. Students were evaluated without bias.
对学生的评估都是公正的。
"
option,There are a number of options available.,有多种选择。,"n.[计] 选项；选择权；买卖的特权
","1. There are a number of options available.
有多种选择。
2. He had two options.
他有两种选择。
3. This was not the only option open to him.
这并非是他的唯一选择。
4. Teenage mothers often have no option but to (= have no other choice except to ) live with their parents.
少女妈妈往往别无选择，只能与父母同住。
"
date,The date on the letter was 30th August 1962.,信上的日期是1962年8月30日。,"n.日期；约会；年代；枣椰子
v.过时；注明日期；始于（某一历史时期）
","1. The date on the letter was 30th August 1962.
信上的日期是1962年8月30日。
2. What’s today’s date?
今天几号？
"
description,The booklet gives a brief description of each place.,这本小册子对每一个地方都作了简短的介绍。,"n.描述，描写；类型；说明书
","1. The booklet gives a brief description of each place.
这本小册子对每一个地方都作了简短的介绍。
2. Berlin sounds fascinating from your description.
从你的描述来看，柏林是个迷人的城市。
"
peculiar,There was a peculiar smell in the kitchen.,厨房里有一股怪味。,"adj.特殊的；独特的；奇怪的；罕见的
n.特权；特有财产
","1. There was a peculiar smell in the kitchen.
厨房里有一股怪味。
2. Something peculiar is going on.
出了怪事。
3. It seems very peculiar that no one noticed Kay had gone.
没有人注意到凯已经走了，这好像很奇怪。
"
