word,trans,example
predict,"v.预言,预测,预告
","1. Sales were five percent lower than predicted.
销售额比预期低5%。
2. As Liz had predicted , the rumours were soon forgotten.
正如利兹所预料的，流言很快就被淡忘了。
"
waterproof,"adj.防水的,耐水的
","1. a waterproof jacket
防水上衣
2. waterproof adhesive
防水黏合剂
3. Rub the wax in to make the shoe waterproof.
在鞋子上抹点蜡使其防水。
"
productivity,"n.生产率
","1. high productivity levels in manufacturing
制造业中的高生产率
2. It cost the country $4 million in lost productivity .
它对该国造成了400万美元的生产力损失。
"
finally,"adv.最后,最终
","1. After several delays we finally took off at six o’clock.
几经耽搁后，我们终于在六点起飞了。
2. Finally, Karpov cracked under the pressure.
最后，卡尔波夫承受不住压力崩溃了。
"
subtract,"v.(from)减(去)
","1. If you subtract 30 from 45, you get 15.
45 减 30 等于 15
"
direct,"a&ad.径直地
adj.径直的
v.管理,指导；(at,to)指向
","1. Can we fly direct to Chicago, or do we stop in Salt Lake City first?
我们能否直飞芝加哥，还是要先在盐湖城停一下？
2. Which is the most direct route to London?
哪条是到伦敦最直接的路线？
3. I’m not in direct contact with them.
我和他们没有直接的联系。
4. Can we fly direct to Chicago, or do we stop in Salt Lake City first?
我们能否直飞芝加哥，还是要先在盐湖城停一下？
5. Mr Turner was directing the investigation from a very early stage.
特纳先生从很早开始就在负责这项调查。
6. I’d like to direct your attention to paragraph four.
我想请你们留意第四段。
"
monetary,"adj.金融的,货币的
","1. the government’s tight monetary policy
政府从紧的货币政策
2. objects of little monetary value
不值钱的物件
"
approve,"v.批准，通过；(of)赞成，赞许，同意
","1. The conference approved a proposal for a referendum.
会议通过了举行全民公决的提议。
2. I don’t approve of cosmetic surgery.
我不赞同整型手术。
"
economical,"adj.节约的,经济的
","1. A small car is more economical to run.
开小型汽车比较省油。
2. good-quality clothes at economical prices
物美价廉的衣服
"
bankrupt,"adj.破产的
v.使破产
n.破产者
","1. The firm went bankrupt before the building work was completed.
建筑工程尚未竣工，公司就破产了。
2. In 1977 he was declared bankrupt (=  by a court  ) .
1977年，他被宣布破产。
3. Mr Trent lost his house when he was made bankrupt .
特伦特先生破产以后房子也没有了。
4. Seventeen years of war left the country bankrupt.
17年的战争把国家耗空了。
5. a bankrupt electrical company
一家破产的电力公司
6. The move to the market nearly bankrupted the firm and its director.
走向市场的行动几乎使这家公司及其董事破产。
7. Johns had been nearly bankrupted through a failed business venture.
约翰斯因为商业投资失败几近破产。
8. In total, 80% of bankrupts are men.
总体来看，有80%的破产者为男性。
"
objection,"n.异议,反对的理由；反对,不喜欢
","1. Her objection was that he was too young.
她反对的理由是他太小。
2. Despite objections by the White House, the Senate voted today to cut off aid.
尽管白宫反对，参议院今天投票中断援助。
"
pale,"adj.苍白的,灰白的；浅的,暗淡的
","1. He looked very pale and drawn.
他看上去非常苍白憔悴。
2. pale blue curtains
淡蓝色的窗帘
"
format,"n.(出版物的)开本,版式,格式
v.设计;安排
","1. a large-format book for the partially-sighted
一本给弱视者阅读的大开本的书
2. better ways to format your spreadsheets
编排电子表格格式的更好方法
"
voice,"n.声音;嗓音；意见,发言权;语态
","1. He recognized her voice instantly.
他立刻听出了她的声音。
2. I could hear angry voices.
我听到了愤怒的声音。
3. Parents should have a voice in deciding how their children are educated.
在决定他们的孩子应接受怎样的教育时，家长应该也有发言权。
"
